,Question,Equation,Combined,Answer
384,The ring toss game at the carnival made w dollars in the first x days and y dollars in the remaining z days. How much did they make per day in the first x days at the carnival?,( w / x ),The ring toss game at the carnival made 120 dollars in the first 20 days and 66 dollars in the remaining 16 days. How much did they make per day in the first 20 days at the carnival?,6
385,Mary is baking a cake. The recipe calls for w cups of sugar and x cups of flour. She already put in y cups of flour. How many more cups of sugar than cups of flour does she need to add now?,( w - ( x - y ) ),Mary is baking a cake. The recipe calls for 5 cups of sugar and 14 cups of flour. She already put in 11 cups of flour. How many more cups of sugar than cups of flour does she need to add now?,2
386,Emily is making bead necklaces for her w friends. She made x necklaces and each necklace takes 2 beads. How many beads did Emily have?,( x * y ),Emily is making bead necklaces for her 44 friends. She made 26 necklaces and each necklace takes 2 beads. How many beads did Emily have?,52
387,Melissa scored a total of w points playing some games. Is she scored x points in each game. How many games did she play?,( w / x ),Melissa scored a total of 21 points playing some games. Is she scored 7 points in each game. How many games did she play?,3
388,Adam has w apples. Jackie has x apples. How many more apples does Adam have than Jackie?,( w - x ),Adam has 10 apples. Jackie has 2 apples. How many more apples does Adam have than Jackie?,8
389,Debby bought w water bottles and x soda bottles when they were on sale. If she drank y water bottles and z soda bottles a day How many days would the soda bottles last?,( x / z ),Debby bought 200 water bottles and 256 soda bottles when they were on sale. If she drank 312 water bottles and 4 soda bottles a day How many days would the soda bottles last?,64
390,Jerry had w action figures and x books on a shelf in his room. Later he added y more books to the shelf. How many more books than action figures were on his shelf?,( ( x + y ) - w ),Jerry had 5 action figures and 2 books on a shelf in his room. Later he added 9 more books to the shelf. How many more books than action figures were on his shelf?,6
391,Robin's hair was w inches long. If he grew x more inches How long is his hair now?,( w + x ),Robin's hair was 19 inches long. If he grew 18 more inches How long is his hair now?,37
392,Danny collects bottle caps and wrappers. He found w wrappers and x bottle caps at the park. Now he has y bottle caps and z wrappers in his collection. How many bottle caps did danny have at first?,( y - x ),Danny collects bottle caps and wrappers. He found 82 wrappers and 29 bottle caps at the park. Now he has 42 bottle caps and 61 wrappers in his collection. How many bottle caps did danny have at first?,13
393,If you had w bags with equal number of cookies and x cookies in total How many cookies does each bag have?,( x / w ),If you had 4 bags with equal number of cookies and 36 cookies in total How many cookies does each bag have?,9
394,White t - shirts can be purchased in packages of w. If mom buys x white t - shirts How many packages will she have?,( x / w ),White t - shirts can be purchased in packages of 13. If mom buys 39 white t - shirts How many packages will she have?,3
395,In a school there are w girls and x boys. y more girls joined the school. How many pupils are there in the school now?,( ( w + x ) + y ),In a school there are 706 girls and 222 boys. 418 more girls joined the school. How many pupils are there in the school now?,1346
396,For the walls of the house John would use large planks of wood. Each plank needs w pieces of nails to be secured and he would use x planks. How many nails does John need for the house wall?,( x * w ),For the walls of the house John would use large planks of wood. Each plank needs 2 pieces of nails to be secured and he would use 16 planks. How many nails does John need for the house wall?,32
397,At the arcade Dave had won w tickets. If he used x to buy some toys and y more to buy some clothes How many more tickets did Dave use to buy clothes than he did to buy toys?,( y - x ),At the arcade Dave had won 13 tickets. If he used 8 to buy some toys and 18 more to buy some clothes How many more tickets did Dave use to buy clothes than he did to buy toys?,10
398,Marco and his dad went strawberry picking. Together their strawberries weighed w pounds. Marco's strawberries weighed x pounds. How much more did his dad's strawberries weigh than his?,( ( w - x ) - x),Marco and his dad went strawberry picking. Together their strawberries weighed 35 pounds. Marco's strawberries weighed 13 pounds. How much more did his dad's strawberries weigh than his?,9
399,An industrial machine can make w shirts a minute. It made x shirts yesterday and y shirts today. How many minutes did the machine work in all?,( ( x + y ) / w ),An industrial machine can make 3 shirts a minute. It made 4 shirts yesterday and 8 shirts today. How many minutes did the machine work in all?,4
400,"w red peaches, x yellow peaches and y green peaches are in the basket. How many more red peaches than yellow peaches are in the basket?",( w - x ),"19 red peaches, 11 yellow peaches and 12 green peaches are in the basket. How many more red peaches than yellow peaches are in the basket?",8
401,For Gwen's birthday she received w dollars from her mom. Her dad gave her x more dollars. If she spent y dollars. How much more money did she receive from her mom than she did from her dad?,( w - x ),For Gwen's birthday she received 8 dollars from her mom. Her dad gave her 5 more dollars. If she spent 4 dollars. How much more money did she receive from her mom than she did from her dad?,3
402,The ring toss game at the carnival made the same amount of money each day. In total in w days they earned x dollars. Together with game they earned y dollars. How much did ring toss game make per day?,( x / w ),The ring toss game at the carnival made the same amount of money each day. In total in 30 days they earned 420 dollars. Together with game they earned 22 dollars. How much did ring toss game make per day?,14
